No,VMI,VME,SSA
139,0.589,0.073,1624
140,0.589,0.073,1624
141,0.589,0.073,1624
142,0.589,0.073,1624
143,0.589,0.073,1624
144,0.589,0.073,1624
145,0.589,0.073,1624
146,0.589,0.073,1624
147,0.589,0.073,1624
148,0.589,0.073,1624
149,0.589,0.073,1624
150,0.589,0.073,1624
151,0.589,0.073,1624
152,0.589,0.073,1624
153,0.589,0.073,1624
154,0.589,0.073,1624
155,0.589,0.073,1624
156,0.589,0.073,1624
157,0.589,0.073,1624
158,0.589,0.073,1624
159,0.589,0.073,1624
160,0.793,0.432,2620
161,0.793,0.432,2620
162,0.793,0.432,2620
163,0.793,0.432,2620
164,0.793,0.432,2620
165,0.793,0.432,2620
166,0.793,0.432,2620
167,0.793,0.432,2620
168,0.793,0.432,2620
169,0.793,0.432,2620
170,0.793,0.432,2620
171,0.793,0.432,2620
172,0.793,0.432,2620
173,0.793,0.432,2620
174,0.793,0.432,2620
175,0.793,0.432,2620
176,0.793,0.432,2620
177,0.793,0.432,2620
178,0.793,0.432,2620
179,0.793,0.432,2620
180,0.793,0.432,2620
181,0.793,0.432,2620
182,0.793,0.432,2620
183,0.793,0.432,2620
184,0.793,0.432,2620
185,0.793,0.432,2620
186,0.793,0.432,2620
187,0.793,0.432,2620
188,0.793,0.432,2620
189,0.793,0.432,2620
190,0.793,0.432,2620
191,0.793,0.432,2620
192,0.793,0.432,2620
193,0.793,0.432,2620
194,0.793,0.432,2620
195,0.793,0.432,2620
196,0.793,0.432,2620
197,0.793,0.432,2620
198,0.793,0.432,2620
199,0.793,0.432,2620
200,0.793,0.432,2620
201,0.917,0.207,2162
202,0.917,0.207,2162
203,0.917,0.207,2162
204,0.917,0.207,2162
205,0.917,0.207,2162
206,0.917,0.207,2162
207,0.917,0.207,2162
208,0.917,0.207,2162
209,0.917,0.207,2162
210,0.917,0.207,2162
211,0.928,0.075,2180
212,0.928,0.075,2180
213,0.928,0.075,2180
214,0.928,0.075,2180
215,0.928,0.075,2180
216,0.928,0.075,2180
217,0.928,0.075,2180
218,0.928,0.075,2180
219,0.99,0.091,2318
220,0.99,0.091,2318
221,0.99,0.091,2318
222,0.99,0.091,2318
223,0.99,0.091,2318
224,0.99,0.091,2318
225,0.99,0.091,2318
226,0.99,0.091,2318
227,0.99,0.091,2318
228,0.99,0.091,2318
229,0.79,0.72,2350
230,0.79,0.72,2350
231,0.79,0.72,2350
232,0.79,0.72,2350
233,0.79,0.72,2350
234,0.79,0.72,2350
235,0.79,0.72,2350
236,0.79,0.72,2350
237,0.12,0.69,970
238,0.12,0.69,970
239,0.12,0.69,970
240,0.12,0.69,970
241,0.12,0.69,970
242,0.12,0.69,970
243,0.12,0.69,970
244,0.12,0.69,970
245,0.12,0.69,970
246,0.12,0.69,970
247,0.48,0.2,1200
248,0.48,0.2,1200
249,0.48,0.2,1200
250,0.48,0.2,1200
251,0.48,0.2,1200
252,0.48,0.2,1200
253,0.48,0.2,1200
254,0.48,0.2,1200
255,0.48,0.2,1200
256,0.48,0.2,1200
257,0.48,0.2,1200
258,0.48,0.2,1200
259,0.48,0.2,1200
260,0.48,0.2,1200
261,0.48,0.2,1200
262,0.54,0.19,1330
263,0.54,0.19,1330
264,0.54,0.19,1330
265,0.54,0.19,1330
266,0.54,0.19,1330
267,0.54,0.19,1330
268,0.54,0.19,1330
269,0.54,0.19,1330
270,0.54,0.19,1330
271,0.54,0.19,1330
272,0.54,0.19,1330
273,0.54,0.19,1330
274,0.54,0.19,1330
275,0.54,0.19,1330
276,0.54,0.19,1330
277,0.54,0.19,1330
278,0.54,0.19,1330
279,0.54,0.19,1330
280,0.54,0.19,1330
281,0.54,0.19,1330
282,0.54,0.19,1330
283,0.65,0.18,1570
284,0.65,0.18,1570
285,0.65,0.18,1570
286,0.65,0.18,1570
287,0.65,0.18,1570
288,0.65,0.18,1570
289,0.65,0.18,1570
290,0.65,0.18,1570
291,0.65,0.18,1570
292,0.65,0.18,1570
293,0.65,0.18,1570
294,0.65,0.18,1570
295,0.65,0.18,1570
296,0.65,0.18,1570
297,0.65,0.18,1570
298,0.75,0.2,1820
299,0.75,0.2,1820
300,0.75,0.2,1820
301,0.75,0.2,1820
302,0.75,0.2,1820
303,0.75,0.2,1820
304,0.75,0.2,1820
305,0.75,0.2,1820
306,0.75,0.2,1820
307,0.96,0.28,2310
308,0.96,0.28,2310
309,0.96,0.28,2310
310,0.48,0.29,1390
311,0.48,0.29,1390
312,0.48,0.29,1390
313,0.59,0.22,1545
314,0.59,0.22,1545
315,0.59,0.22,1545
316,0.58,0.23,1450
317,0.58,0.23,1450
318,0.58,0.23,1450
319,0.58,0.23,1450
320,0.58,0.23,1450
321,0.58,0.23,1450
322,0.58,0.23,1450
323,0.58,0.23,1450
324,0.58,0.23,1450
325,0.77,0.16,1870
326,0.77,0.16,1870
327,0.77,0.16,1870
328,1.03,0.35,2660
329,1.03,0.35,2660
330,1.03,0.35,2660
331,1.03,0.35,2660
332,1.03,0.35,2660
333,1.03,0.35,2660
334,1.03,0.35,2660
335,1.03,0.35,2660
336,1.03,0.35,2660
337,0.92,0.09,2190
338,0.92,0.09,2190
339,0.92,0.09,2190
340,0.92,0.09,2190
341,0.92,0.09,2190
342,0.92,0.09,2190
343,0.96,0.12,2370
344,0.96,0.12,2370
345,0.96,0.12,2370
346,0.96,0.12,2370
347,0.96,0.12,2370
348,0.96,0.12,2370
349,0.91,0.24,2370
350,0.91,0.24,2370
351,0.91,0.12,2250
352,0.91,0.12,2250
353,0.91,0.12,2250
354,0.91,0.12,2250
355,0.91,0.12,2250
356,0.91,0.12,2250
357,1.23,0.12,2850
358,1.23,0.12,2850
359,0.55,0.07,1260
360,0.55,0.07,1260
361,0.55,0.07,1260
362,0.55,0.07,1260
363,0.55,0.07,1260
364,0.55,0.07,1260
365,0.55,0.07,1260
366,0.55,0.07,1260
367,0.55,0.07,1260
368,0.61,0.06,1380
369,0.61,0.06,1380
370,0.61,0.06,1380
371,0.61,0.06,1380
372,0.61,0.06,1380
373,0.61,0.06,1380
374,0.61,0.06,1380
375,0.61,0.06,1380
376,0.61,0.06,1380
377,0.62,0.07,1390
378,0.62,0.07,1390
379,0.62,0.07,1390
380,0.62,0.07,1390
381,0.62,0.07,1390
382,0.62,0.07,1390
383,0.62,0.07,1390
384,0.62,0.07,1390
385,0.62,0.07,1390
386,0.82,0.15,1940
387,0.82,0.15,1940
388,0.82,0.15,1940
389,0.82,0.15,1940
390,0.82,0.15,1940
391,0.82,0.15,1940
392,0.82,0.15,1940
393,0.82,0.15,1940
394,0.82,0.15,1940
395,1.45,0.12,3100
