No,SSA,VMI,VME,T,P,G
221,1493,0.488,0.17,30,6.859,3.96
222,1493,0.488,0.17,30,10.498,4.732
223,1493,0.488,0.17,30,15.062,5.374
224,1493,0.488,0.17,30,20.161,5.852
225,1493,0.488,0.17,30,25.468,6.194
226,1493,0.488,0.17,30,30.758,6.439
227,1493,0.488,0.17,40,0.267,0.312
228,1493,0.488,0.17,40,0.796,0.812
229,1493,0.488,0.17,40,1.476,1.312
230,1493,0.488,0.17,40,2.468,1.878
231,1493,0.488,0.17,40,4.281,2.623
232,1493,0.488,0.17,40,6.701,3.356
233,1493,0.488,0.17,40,10.301,4.097
234,1493,0.488,0.17,40,14.7,4.743
235,1493,0.488,0.17,40,19.572,5.225
236,1493,0.488,0.17,40,24.629,5.603
237,1493,0.488,0.17,40,30.102,5.954
238,1853,0.425,0.34,20,0.124,0.16
239,1853,0.425,0.34,20,0.312,0.5
240,1853,0.425,0.34,20,0.58,0.976
241,1853,0.425,0.34,20,1.187,1.596
242,1853,0.425,0.34,20,2.242,2.414
243,1853,0.425,0.34,20,3.278,3.049
244,1853,0.425,0.34,20,5.47,4.071
245,1853,0.425,0.34,20,8.038,4.934
246,1853,0.425,0.34,20,11.51,5.762
247,1853,0.425,0.34,20,15.514,6.454
248,1853,0.425,0.34,20,20.435,7.053
249,1853,0.425,0.34,20,25.545,7.488
250,1853,0.425,0.34,20,30.87,7.826
251,1853,0.425,0.34,30,0.095,0.192
252,1853,0.425,0.34,30,0.667,0.858
253,1853,0.425,0.34,30,1.723,1.693
254,1853,0.425,0.34,30,3.083,2.49
255,1853,0.425,0.34,30,5.018,3.382
256,1853,0.425,0.34,30,7.584,4.22
257,1853,0.425,0.34,30,11.613,5.169
258,1853,0.425,0.34,30,16.016,5.902
259,1853,0.425,0.34,30,20.665,6.465
260,1853,0.425,0.34,30,25.924,6.932
261,1853,0.425,0.34,30,31.241,7.278
262,1853,0.425,0.34,40,0.141,0.167
263,1853,0.425,0.34,40,0.73,0.709
264,1853,0.425,0.34,40,1.47,1.214
265,1853,0.425,0.34,40,2.681,1.93
266,1853,0.425,0.34,40,4.448,2.682
267,1853,0.425,0.34,40,7.125,3.561
268,1853,0.425,0.34,40,11.186,4.516
269,1853,0.425,0.34,40,16.123,5.327
270,1853,0.425,0.34,40,21.036,5.913
271,1853,0.425,0.34,40,25.96,6.42
272,1853,0.425,0.34,40,31.029,6.794
273,1457,0.35,0.22,20,0.09,0.227
274,1457,0.35,0.22,20,0.18,0.377
275,1457,0.35,0.22,20,0.29,0.549
276,1457,0.35,0.22,20,0.38,0.662
277,1457,0.35,0.22,20,0.48,0.782
278,1457,0.35,0.22,20,0.58,0.88
279,1457,0.35,0.22,20,0.69,0.987
280,1457,0.35,0.22,20,0.78,1.074
281,1457,0.35,0.22,20,0.89,1.169
282,1457,0.35,0.22,20,0.98,1.243
283,1457,0.35,0.22,20,1.55,1.604
284,1457,0.35,0.22,20,2.06,1.909
285,1457,0.35,0.22,20,3.07,2.387
286,1457,0.35,0.22,20,4.06,2.757
287,1457,0.35,0.22,20,5.07,3.067
288,1457,0.35,0.22,20,7.05,3.516
289,1457,0.35,0.22,20,10.06,4.031
290,1457,0.35,0.22,20,15.07,4.597
291,1457,0.35,0.22,20,20.06,4.962
292,1457,0.35,0.22,20,25.07,5.21
293,1457,0.35,0.22,20,30.07,5.382
294,1457,0.35,0.22,20,35,5.496
295,1457,0.35,0.22,30,0.1,0.188
296,1457,0.35,0.22,30,0.19,0.318
297,1457,0.35,0.22,30,0.3,0.45
298,1457,0.35,0.22,30,0.39,0.545
299,1457,0.35,0.22,30,0.5,0.648
300,1457,0.35,0.22,30,0.59,0.732
301,1457,0.35,0.22,30,0.7,0.824
302,1457,0.35,0.22,30,0.79,0.899
303,1457,0.35,0.22,30,0.9,0.983
304,1457,0.35,0.22,30,0.99,1.051
305,1457,0.35,0.22,30,1.49,1.372
306,1457,0.35,0.22,30,2.07,1.65
307,1457,0.35,0.22,30,3.08,2.092
308,1457,0.35,0.22,30,4.06,2.438
309,1457,0.35,0.22,30,5.05,2.726
310,1457,0.35,0.22,30,7.06,3.175
311,1457,0.35,0.22,30,10.06,3.682
312,1457,0.35,0.22,30,15.07,4.256
313,1457,0.35,0.22,30,20.06,4.637
314,1457,0.35,0.22,30,25.07,4.904
315,1457,0.35,0.22,30,30.07,5.095
316,1457,0.35,0.22,30,35,5.233
317,1457,0.35,0.22,60,0.1,0.109
318,1457,0.35,0.22,60,0.19,0.178
319,1457,0.35,0.22,60,0.3,0.246
320,1457,0.35,0.22,60,0.39,0.303
321,1457,0.35,0.22,60,0.5,0.365
322,1457,0.35,0.22,60,0.59,0.418
323,1457,0.35,0.22,60,0.7,0.479
